City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
jamestown,US,42.1,-79.24,32.0,93,1,5.75,1610684981
puerto ayora,EC,-0.74,-90.35,73.99,93,47,4.0,1610684984
horta,PT,38.53,-28.63,62.31,87,95,29.48,1610684984
marcona,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
rikitea,BR,-17.71,-39.25,74.35,86,0,4.03,1610684985
caravelas,MA,32.3,-9.24,51.35,78,1,12.62,1610684986
alashtar,AR,-43.3,-65.1,71.06,58,100,8.12,1610684986
asfi,CV,15.13,-23.22,71.6,68,75,20.71,1610684986
rawson,US,57.05,-135.33,46.4,66,90,23.02,1610684987
vila do maio,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
sitka,RU,64.38,-173.3,10.4,79,90,13.42,1610684789
rikitea,US,42.1,-79.24,32.0,93,1,5.75,1610684981
provideniya,IE,52.05,-9.52,38.28,84,99,4.14,1610684987
jamestown,US,47.5,-120.5,35.01,85,55,1.99,1610684988
killarney,ES,28.66,-17.92,62.6,72,90,9.22,1610684988
washington,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
los llanos de aridane,CA,66.15,-65.71,-6.3,71,0,2.08,1610684988
rikitea,BR,-30.18,-50.21,72.3,82,85,18.34,1610684988
pangnirtung,BR,-24.79,-50.01,62.22,94,61,9.95,1610684989
cidreira,PT,38.52,-28.7,63.28,85,93,31.52,1610684989
castro,EC,-0.74,-90.35,73.99,93,47,4.0,1610684984
ribeira grande,SL,7.53,-12.51,76.5,91,14,3.15,1610684989
puerto ayora,CA,62.46,-114.35,1.4,85,75,3.51,1610684990
bonthe,RU,45.09,133.51,10.26,95,100,4.63,1610684990
yellowknife,US,55.34,-131.65,44.6,100,90,21.85,1610684990
kirovskiy,SO,2.04,45.34,77.45,78,90,18.37,1610684990
ketchikan,AR,-54.8,-68.3,46.4,71,75,11.5,1610684990
mogadishu,CA,47.67,-52.73,33.01,93,90,9.22,1610684991
ushuaia,PL,51.04,21.07,24.01,83,100,8.93,1610684991
torbay,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
starachowice,PA,9.55,-79.65,79.0,99,100,8.34,1610684991
rikitea,ML,13.57,-8.03,65.86,24,6,11.3,1610684991
portobelo,PT,38.7,-9.42,54.0,95,68,12.37,1610684992
kolokani,TO,-19.8,-174.35,86.0,79,40,5.75,1610684822
cascais,CA,65.28,-126.83,-5.8,77,1,5.75,1610684811
tumannyy,US,19.73,-155.09,77.0,69,1,4.61,1610684807
pangai,US,37.46,-122.43,57.2,93,90,5.75,1610684993
norman wells,PF,-9.8,-139.03,77.49,76,22,11.05,1610684993
hilo,US,22.08,-159.32,75.2,83,40,6.91,1610684993
half moon bay,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
atuona,IL,31.61,34.76,53.01,100,66,11.79,1610684994
kapaa,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
rikitea,US,22.08,-159.32,75.2,83,40,6.91,1610684993
gat,CA,70.47,-68.59,-9.4,84,90,2.3,1610684811
rikitea,AR,-45.87,-67.5,62.6,88,75,6.91,1610684821
kapaa,CK,-21.21,-159.78,84.2,70,90,9.22,1610684995
tsihombe,US,33.19,-82.53,42.8,75,1,4.61,1610684995
clyde river,AR,-54.8,-68.3,46.4,71,75,11.5,1610684990
comodoro rivadavia,MG,-23.72,44.38,81.18,65,0,6.08,1610684996
avarua,US,71.29,-156.79,-11.2,70,1,12.66,1610684996
taolanaro,NA,-26.65,15.16,63.77,88,94,2.04,1610684996
avera,PF,-9.8,-139.03,77.49,76,22,11.05,1610684993
ushuaia,BR,-8.75,-67.4,73.08,97,100,1.97,1610684997
betioky,ES,41.17,-4.0,32.0,81,37,3.51,1610684997
barrow,US,57.05,-135.33,46.4,66,90,23.02,1610684987
luderitz,KZ,41.25,67.97,40.53,69,0,0.65,1610684795
atuona,CA,55.74,-97.86,12.2,85,90,16.11,1610684811
boca do acre,CA,62.46,-114.35,1.4,85,75,3.51,1610684990
segovia,US,42.16,-72.33,35.01,100,90,3.44,1610684998
sitka,US,57.79,-152.41,39.2,87,90,19.57,1610684998
chardara,IS,64.25,-15.21,37.69,78,46,7.23,1610684998
thompson,BR,-11.94,-38.08,71.11,97,85,2.01,1610684999
yellowknife,TR,40.0,41.5,28.96,97,100,9.42,1610684999
palmer,NZ,-46.19,168.86,73.0,63,0,8.99,1610684999
kodiak,US,19.73,-155.09,77.0,69,1,4.61,1610684807
grand river south east,US,41.37,-73.41,34.0,86,90,2.8,1610684999
hofn,UY,-33.7,-53.46,64.36,79,4,9.51,1610685000
entre rios,CV,14.9,-24.5,73.04,69,100,11.07,1610685000
erzurum,CA,62.46,-114.35,1.4,85,75,3.51,1610684990
mataura,US,64.86,-147.8,-4.0,77,75,5.75,1610684818
hilo,CL,-53.15,-70.92,51.8,76,90,9.22,1610685001
bethel,US,37.1,-113.58,53.6,17,1,4.61,1610685001
chuy,ZA,-34.42,19.23,61.0,93,2,1.01,1610685001
sao filipe,CA,50.7,-127.42,46.4,93,90,17.27,1610685001
yellowknife,AF,35.83,66.17,44.04,50,36,7.18,1610685002
college,BR,-2.92,-39.92,77.18,83,6,9.91,1610685002
punta arenas,BR,-10.13,-36.18,76.96,83,35,11.5,1610685002
saint george,US,38.23,-122.64,52.0,100,1,3.44,1610685002
hermanus,ZA,-33.93,18.42,70.0,88,75,16.11,1610685003
port hardy,GL,64.18,-51.72,23.0,74,75,12.66,1610685003
sar-e pul,US,22.08,-159.32,75.2,83,40,6.91,1610684993
itarema,US,19.73,-155.09,77.0,69,1,4.61,1610684807
coruripe,CA,60.75,-137.51,17.6,100,100,2.44,1610684814
petaluma,CL,-53.15,-70.92,51.8,76,90,9.22,1610685001
cape town,CD,-4.32,20.58,68.79,92,100,2.08,1610685004
nuuk,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
kapaa,CL,-37.62,-73.65,55.24,88,8,3.36,1610685004
hilo,US,42.1,-79.24,32.0,93,1,5.75,1610684981
haines junction,US,32.78,-79.93,48.0,76,1,3.44,1610685005
punta arenas,LT,54.02,23.97,15.8,79,90,11.18,1610685006
ilebo,US,71.29,-156.79,-11.2,70,1,12.66,1610684996
rikitea,HK,22.29,114.16,68.0,46,7,1.99,1610684844
lebu,ZM,-12.29,33.18,67.41,90,100,4.47,1610685007
jamestown,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
charleston,PT,39.05,-27.98,62.24,85,99,30.24,1610685008
yialos,GA,-3.43,10.66,77.36,84,79,7.74,1610685008
aakirkeby,TO,-21.2,-175.2,84.2,79,75,9.22,1610684822
druskininkai,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
grand river south east,PF,-17.73,-149.15,84.2,65,20,5.75,1610685008
barrow,RU,64.38,-173.3,10.4,79,90,13.42,1610684789
victoria,PL,52.03,23.12,15.8,86,90,11.18,1610685009
lundazi,RU,65.99,57.53,-12.08,87,100,5.28,1610685009
rikitea,BR,-2.92,-39.92,77.18,83,6,9.91,1610685002
lagoa,MU,-20.52,57.52,78.8,100,75,3.44,1610685010
mayumba,HK,22.29,114.16,68.0,46,7,1.99,1610684844
vaini,MX,27.98,-114.06,64.38,37,0,8.63,1610685010
rikitea,US,42.1,-79.24,32.0,93,1,5.75,1610684981
tautira,TO,-21.2,-175.2,84.2,79,75,9.22,1610684822
provideniya,PF,-16.48,-151.75,80.8,77,27,14.41,1610684822
biala podlaska,GL,72.79,-56.15,16.02,96,100,4.36,1610684779
grand river south east,BR,-27.46,-53.93,72.0,81,0,8.88,1610685011
usinsk,CY,34.77,32.42,59.0,55,75,16.11,1610685012
itarema,IN,28.02,79.02,61.2,37,66,2.98,1610685012
souillac,CL,-33.04,-71.63,50.0,100,0,12.59,1610685012
victoria,RU,68.0,35.01,9.36,94,99,7.96,1610685012
guerrero negro,US,38.04,-84.9,46.4,57,90,12.66,1610685012
jamestown,BR,-5.2,-35.46,77.0,88,40,5.75,1610685013
vaini,CL,-35.33,-72.42,55.27,66,0,9.95,1610685013
taolanaro,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
faanui,CL,-35.33,-72.42,55.27,66,0,9.95,1610685013
upernavik,TZ,-3.33,36.8,62.53,79,1,3.04,1610685014
tres passos,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
pafos,LR,6.3,-10.8,77.88,86,1,6.04,1610685014
ujhani,BO,-20.46,-66.83,54.18,62,92,12.48,1610685014
valparaiso,EC,-0.74,-90.35,73.99,93,47,4.0,1610684984
lovozero,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
lawrenceburg,CA,69.45,-133.04,-9.4,77,90,12.66,1610685015
touros,CK,-21.21,-159.78,84.2,70,90,9.22,1610684995
constitucion,BB,13.22,-59.52,77.0,83,40,16.11,1610685015
rikitea,US,41.12,-100.77,37.4,30,90,37.98,1610685015
constitucion,CL,-35.33,-72.42,55.27,66,0,9.95,1610685013
poli,CA,60.75,-137.51,17.6,100,100,2.44,1610684814
rikitea,NA,-26.65,15.16,63.77,88,94,2.04,1610684996
monrovia,RU,64.38,-173.3,10.4,79,90,13.42,1610684789
uyuni,US,71.29,-156.79,-11.2,70,1,12.66,1610684996
puerto ayora,GF,4.93,-52.33,75.2,100,75,1.14,1610685017
rikitea,ES,43.27,-7.54,46.99,100,75,3.44,1610685017
tuktoyaktuk,PT,39.05,-27.98,62.24,85,99,30.24,1610685008
avarua,AR,-54.8,-68.3,46.4,71,75,11.5,1610684990
bathsheba,MY,5.41,100.34,86.0,66,20,5.75,1610684718
north platte,IN,10.57,72.64,82.67,76,86,17.92,1610685018
constitucion,MX,15.85,-97.07,75.2,78,40,3.44,1610685018
haines junction,NZ,-46.19,168.86,73.0,63,0,8.99,1610684999
luderitz,US,33.19,-82.53,42.8,75,1,4.61,1610684995
provideniya,CL,-35.33,-72.42,55.27,66,0,9.95,1610685013
barrow,PT,37.02,-7.93,41.0,93,0,1.14,1610685019
cayenne,MU,-20.41,57.7,78.8,100,75,3.44,1610684808
bereda,KM,-11.38,43.28,81.27,75,20,9.93,1610685020
lagoa,RU,64.38,-173.3,10.4,79,90,13.42,1610684789
ushuaia,ZA,-34.42,19.23,61.0,93,2,1.01,1610685001
georgetown,AU,-38.27,141.97,60.28,61,66,27.34,1610685020
kavaratti,US,22.08,-159.32,75.2,83,40,6.91,1610684993
puerto escondido,PE,-6.85,-79.3,75.18,64,99,3.0,1610685021
andevoranto,MY,5.41,100.34,86.0,66,20,5.75,1610684718
mataura,BR,-3.9,-38.39,80.6,78,40,8.05,1610685022
avera,MY,5.41,100.34,86.0,66,20,5.75,1610684718
constitucion,PF,-9.8,-139.03,77.49,76,22,11.05,1610684993
faro,BR,-6.2,-42.14,71.91,95,82,2.1,1610685022
mahebourg,US,22.08,-159.32,75.2,83,40,6.91,1610684993
mitsamiouli,GL,77.48,-69.36,9.77,77,90,0.56,1610685023
provideniya,IR,28.97,50.84,57.2,58,75,6.91,1610685023
hermanus,RU,68.05,39.51,7.23,95,99,16.17,1610684788
codrington,US,57.79,-152.41,39.2,87,90,19.57,1610684998
kapaa,NP,28.04,85.09,51.8,87,20,2.3,1610685024
illoqqortoormiut,US,22.08,-159.32,75.2,83,40,6.91,1610684993
oyotun,IN,10.95,78.08,80.56,69,99,3.06,1610685024
georgetown,FO,62.23,-6.59,37.4,100,75,1.14,1610685024
aquiraz,IN,27.02,75.0,60.03,31,98,4.43,1610684799
georgetown,CL,-35.33,-72.42,55.27,66,0,9.95,1610685013
atuona,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
elesbao veloso,CA,68.22,-135.01,-2.2,84,88,2.3,1610685025
kapaa,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
qaanaaq,RE,-21.34,55.48,84.99,69,0,6.91,1610685026
bushehr,IN,14.92,78.02,80.29,48,0,10.45,1610685026
tsihombe,MX,17.52,-101.27,74.01,74,100,1.57,1610685026
ostrovnoy,MV,5.67,73.0,81.16,79,83,10.42,1610685026
umzimvubu,EC,-0.74,-90.35,73.99,93,47,4.0,1610684984
kodiak,CK,-21.21,-159.78,84.2,70,90,9.22,1610684995
salme,US,22.08,-159.32,75.2,83,40,6.91,1610684993
kapaa,SJ,78.22,15.64,24.8,80,75,6.91,1610685027
karur,US,57.79,-152.41,39.2,87,90,19.57,1610684998
klaksvik,CL,-23.65,-70.4,64.4,72,75,4.61,1610685028
nawa,TR,37.34,41.89,42.8,100,75,11.5,1610685028
constitucion,ML,22.68,-3.98,50.86,40,9,11.7,1610685028
rikitea,PT,38.52,-28.7,63.28,85,93,31.52,1610684989
aklavik,CA,55.74,-97.86,12.2,85,90,16.11,1610684811
rikitea,NZ,-46.19,168.86,73.0,63,0,8.99,1610684999
saint-pierre,CV,14.9,-24.5,73.04,69,100,11.07,1610685000
tadpatri,AO,-8.84,13.23,75.2,88,75,5.75,1610684904
petatlan,MX,25.53,-103.25,52.0,29,31,2.55,1610685029
ugoofaaru,US,47.99,-122.1,48.2,49,90,8.05,1610685030
puerto ayora,SV,13.83,-88.92,75.2,88,0,1.14,1610685030
formoso do araguaia,CA,48.96,-65.5,28.4,93,25,1.14,1610685030
avarua,CL,-53.15,-70.92,51.8,76,90,9.22,1610685001
kapaa,RU,65.58,-171.0,5.77,92,91,6.11,1610684789
longyearbyen,UA,48.08,39.38,21.85,98,100,6.53,1610685031
kodiak,RU,61.25,46.9,3.0,94,98,2.86,1610685031
antofagasta,CA,69.45,-133.04,-9.4,77,90,12.66,1610685015
idil,MV,5.67,73.0,81.16,79,83,10.42,1610685026
taoudenni,MY,5.41,100.34,86.0,66,20,5.75,1610684718
ribeira grande,CA,52.14,-122.14,32.0,74,90,21.85,1610684811
thompson,US,36.19,-94.13,39.0,48,1,9.22,1610685032
mataura,EC,-0.74,-90.35,73.99,93,47,4.0,1610684984
sao filipe,BR,-2.76,-42.27,79.45,81,74,11.99,1610685033
luanda,MG,-13.2,49.05,82.53,82,2,1.05,1610685033
matamoros,CA,62.46,-114.35,1.4,85,75,3.51,1610684990
west lake stevens,PF,-9.8,-139.03,77.49,76,22,11.05,1610684993
salvador,US,38.85,-76.88,42.01,69,1,3.85,1610685034
tumannyy,CA,47.67,-52.73,33.01,93,90,9.22,1610684991
murdochville,LY,32.62,14.0,50.32,54,0,16.96,1610685034
punta arenas,CF,5.67,15.97,59.43,33,79,1.63,1610685034
lavrentiya,ER,13.93,41.69,78.98,39,0,13.8,1610685034
rovenki,LY,32.77,22.64,56.84,79,13,21.47,1610685035
vychegodskiy,ZA,-33.93,18.42,70.0,88,75,16.11,1610685003
tuktoyaktuk,PT,32.67,-17.1,52.0,63,8,3.0,1610685035
ugoofaaru,CK,-21.21,-159.78,84.2,70,90,9.22,1610684995
georgetown,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
williams lake,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
springdale,NA,-26.65,15.16,63.77,88,94,2.04,1610684996
puerto ayora,US,19.73,-155.09,77.0,69,1,4.61,1610684807
tutoia,MX,21.28,-89.67,70.0,88,40,3.44,1610684819
ambilobe,KZ,47.8,67.71,0.63,89,0,14.45,1610685037
yellowknife,CL,-53.15,-70.92,51.8,76,90,9.22,1610685001
atuona,PF,-16.52,-151.75,81.12,76,19,13.89,1610685037
attawapiskat,PH,17.42,121.44,77.88,75,80,7.81,1610685037
forestville,CL,-20.22,-70.14,69.8,68,40,3.44,1610685038
torbay,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
masallatah,FI,65.97,29.18,-5.8,84,90,6.91,1610685038
baoro,BR,-3.9,-38.39,80.6,78,40,8.05,1610685022
edd,US,57.79,-152.41,39.2,87,90,19.57,1610684998
darnah,BR,-2.56,-44.05,80.6,78,40,10.36,1610685039
cape town,GH,4.87,-2.24,78.22,84,28,7.56,1610685040
ponta do sol,CA,60.75,-137.51,17.6,100,100,2.44,1610684814
avarua,US,22.08,-159.32,75.2,83,40,6.91,1610684993
rikitea,GF,5.38,-52.95,76.23,89,97,9.4,1610685040
rikitea,IT,41.99,14.99,39.99,64,50,1.88,1610685040
luderitz,FR,42.0,8.92,46.4,87,90,5.75,1610685041
hilo,US,55.34,-131.65,44.6,100,90,21.85,1610684990
progreso,EC,-0.74,-90.35,73.99,93,47,4.0,1610684984
zhezkazgan,PT,37.73,-25.67,61.0,88,40,17.27,1610685041
punta arenas,PF,-9.8,-139.03,77.49,76,22,11.05,1610684993
vaitape,CA,70.47,-68.59,-9.4,84,90,2.3,1610684811
tabuk,AU,-28.77,114.6,104.0,18,0,14.97,1610685041
vaitupu,CL,-53.15,-70.92,51.8,76,90,9.22,1610685001
iquique,MY,5.41,100.34,86.0,66,20,5.75,1610684718
rikitea,SS,4.85,31.58,77.77,22,65,1.36,1610685042
kuusamo,BR,-20.67,-40.5,73.4,94,40,1.14,1610685043
aquiraz,NL,52.96,4.76,35.01,75,90,2.3,1610685043
kodiak,MU,-20.34,57.76,84.99,100,75,3.44,1610685043
solovetskiy,AU,-31.93,115.8,86.0,18,40,23.02,1610685043
sao jose de ribamar,CA,62.46,-114.35,1.4,85,75,3.51,1610684990
axim,CA,62.46,-114.35,1.4,85,75,3.51,1610684990
haines junction,US,37.1,-113.58,53.6,17,1,4.61,1610685001
kapaa,KZ,52.63,70.42,-4.54,83,80,9.51,1610685044
sinnamary,RO,45.0,26.02,19.0,90,41,3.38,1610685044
termoli,BR,-11.73,-49.07,72.73,93,100,3.91,1610685044
ajaccio,MU,-20.52,57.52,78.8,100,75,3.44,1610685010
ketchikan,HK,22.29,114.16,68.0,46,7,1.99,1610684844
puerto ayora,RU,64.38,-173.3,10.4,79,90,13.42,1610684789
ponta delgada,US,40.7,-99.08,37.4,35,90,31.07,1610685045
atuona,KZ,51.96,66.4,3.7,84,96,16.82,1610684794
clyde river,MX,20.7,-105.2,66.0,92,88,2.62,1610685046
geraldton,PF,-23.12,-134.97,78.3,74,14,10.18,1610684822
punta arenas,US,47.11,-104.71,28.99,64,90,33.38,1610685046
georgetown,IS,64.25,-15.21,37.69,78,46,7.23,1610684998
juba,CA,62.46,-114.35,1.4,85,75,3.51,1610684990
guarapari,AR,-38.0,-57.56,69.01,77,0,13.8,1610685047
den helder,GF,3.17,-52.32,70.66,98,70,0.36,1610685047
bambous virieux,BR,-20.33,-40.29,73.4,94,40,1.14,1610685047
wembley,BR,-7.03,-42.13,73.26,90,78,1.95,1610685048
yellowknife,NG,4.92,6.26,74.91,92,9,0.96,1610684929
yellowknife,RE,-21.36,55.77,84.99,69,0,6.91,1610685048
